station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
103456764,45.4805566,-69.52742732,1188,487,238,229,155,254,0.984496124,0.68503937,1.064,0.699588477,1.106109325,1.571428571,0.006264569,1
103456840,45.32873759,-68.9187734,1151,479,224,226,158,259,0.992125984,0.683559951,1.165048544,0.697336562,1.149253731,1.729032258,0.007397403,1
103456840,45.35072988,-68.91845681,1160,474,226,228,153.5,251.5,0.979983442,0.687900306,1.095217823,0.704473985,1.116122798,1.595907259,0.006430857,1
103456840,45.36526655,-68.92749094,1168,500,234,226.5,153,237,0.961930995,0.674821687,0.994415703,0.70729443,1.042216946,1.506990808,0.006097528,1
103456840,45.37332414,-68.92294712,1170,485,234,229,159,235,0.96641791,0.681564246,1,0.707423581,1.042440318,1.495495495,0.006127996,1
103456840,45.41661755,-68.92910514,1179,462,231.5,231.5,162.5,275,0.993920916,0.700378898,1.191505315,0.714381591,1.176744186,1.66536495,0.007038206,5
103456840,45.42837174,-68.95071394,1180,499,232,242,162,284,1.021052632,0.738916256,1.215827338,0.708108108,1.186335404,1.685459941,0.006922976,5
103457176,45.37020723,-69.36710926,1169,483,226,237,174,296,1.044091711,0.747787611,1.327380952,0.732142857,1.282420749,1.768292683,0.007469118,5
103457176,45.37809984,-69.38359901,1172,513,247,252,185,300,1.022079117,0.747863248,1.223602484,0.742857143,1.200873362,1.68852459,0.006527761,5
103457176,45.39068788,-69.39234777,1175,513,256,260,189,310,1.033333333,0.751196172,1.234234234,0.746803069,1.194029851,1.669172932,0.006262626,4
103457760,45.25942978,-69.23320691,1125,495,224,224,165,277,1.022727273,0.775280899,1.281914894,0.755610973,1.22278481,1.688311688,0.007188302,5
103457760,45.2794021,-69.27419943,1130,514,240,240,178.5,279.5,1.017550819,0.768139098,1.17295553,0.758683928,1.148242872,1.531220516,0.006416822,4
103457760,45.28106534,-69.28705056,1131,484,227.5,236,183,272,1.018237251,0.767959044,1.141876656,0.760310374,1.135971866,1.517206717,0.006301229,4
103457908,45.28164948,-69.51002791,1132,515,236,257,184,316,1.063218391,0.774011299,1.330578512,0.726907631,1.230769231,1.738095238,0.007096322,5
103458374,45.25891253,-69.72695871,1124,496,247.5,245,179,282,1.008383843,0.770614444,1.200336557,0.766281449,1.153009178,1.565108696,0.006153414,4
103458452,45.2049797,-69.52334724,1099,508,235.5,253.5,187,309,1.064258065,0.789858793,1.324952368,0.74736785,1.229316389,1.64634646,0.006877843,4
103458592,45.14247202,-69.37733398,1074,519,224,241,183,301,1.082089552,0.818681319,1.408759124,0.757961783,1.293918919,1.691860465,0.007066139,4
